airline_id,name,iata,icao,active
254,Air BC,,ABL,N
255,Air Fret Senegal,,ABN,N
256,Air Jamahiriya Company,,LJA,N
257,Aktjubavia,,AKB,N
258,Arca Aerovias Colombianas Ltda.,,AKC,N
259,Anikay Air Company,,AKF,N
260,Akhal,,AKH,N
261,Aeromilenio,,MNI,N
262,Aklak Air,,AKK,N
263,Air Kiribati,4A,AKL,Y
264,Alkan Air,,AKN,N
265,Angkor Airways,,AKW,N
266,Air Nippon Network Co. Ltd.,EH,AKX,N
267,AK Navigator LLC,,AKZ,N
268,Aero Albatros,,ALB,N
269,Albion Aviation,,ALD,N
270,Aeroalas Colombia,,ALE,N
271,Allied Command Europe (Mobile Force),,ALF,N
272,Aerotaxis Albatros,,BTS,N
273,American Flyers,,FYS,N
274,Aero Coach Aviation,,DFA,N
275,Atlantic Southeast Airlines,,CAA,N
276,ACM Air Charter,,BVR,N
277,Air Logistics,,ALG,N
278,Aerovallarta,,ALL,N
279,Air ALM,,ALM,N
280,Air Lincoln,,ALN,N
281,America West Airlines,HP,AWE,Y
282,Air Wisconsin,ZW,AWI,Y
283,Aerotransporte de Carga Union,,TNO,N
284,Aero Taxis Cessna,,TND,N
285,Arizona Express Airlines,,TMP,N
286,Tatarstan Airlines,U9,TAK,Y
287,Allegheny Commuter Airlines,,ALO,Y
288,Alpliner AG,,ALP,N
289,Altair Aviation (1986),,ALQ,N
290,Air Luxor STP,,ALU,N
291,Alas de Venezuela,,ALV,N
292,Alas Nacionales,,ALW,N
293,Alyeska Air Service,,ALY,N
294,Alta Flights (Charters) Ltd.,,ALZ,N
295,Air Sunshine,,RSI,Y
296,ATMA,,AMA,N
297,Aerolineas Medellin,,AMD,N
298,Ameriflight,,AMF,N
299,Air Libert,VD,,Y
300,Air Lithuania,TT,KLA,N
301,Air Minas Linhas A,,AMG,N
302,Alan Mann Helicopters Ltd.,,AMH,N
303,Air Maldives,,AMI,N
304,Aviation Amos,,AMJ,N
305,Amerer Air,,AMK,N
306,Air Malawi,QM,AML,Y
307,Aeroputul International Marculesti,,AMM,N
308,Air Montenegro,,AMN,N
309,Air Montreal (Air Holdings Inc.),,AMO,N
310,Aero Transporte S.A. (ATSA),,AMP,N
311,Aeromedicare Ltd.,,AMQ,N
312,Air Sicilia,BM,,Y
313,Air Specialties Corporation,,AMR,N
314,Air Muskoka,,AMS,N
315,ATA Airlines,,AMT,Y
316,Air Macau,NX,AMU,Y
317,AMC Airlines,,AMV,Y
318,Air Midwest,ZV,AMW,N
319,Air Seychelles,HM,SEY,Y
320,Air Sofia,,SFB,N
321,AeroMéxico,AM,AMX,Y
322,Air Ambar,,AMY,N
323,Amiya Airline,,AMZ,N
324,All Nippon Airways,NH,ANA,Y
325,Air Navigation And Trading Co. Ltd.,,ANB,N
326,Anglo Cargo,,ANC,N
327,Air Nostrum,YW,ANE,Y
328,Air Niugini,PX,ANG,Y
329,Air Arabia,G9,ABY,Y
330,Air Canada,AC,ACA,Y
331,Airport Bratsk,,BRP,N
332,Air Wings,,BSB,N
333,Air Baltic,BT,BTI,Y
334,Alajnihah for Air Transport,,ANH,N
335,Air Atlantic (Nig) Limited,,ANI,N
336,Air Nippon,EL,ANK,Y
337,Antares Airtransport,,ANM,N
338,Airnorth,TL,ANO,Y
339,Aerol,,ANQ,N
340,Andes Lineas Aereas,,ANS,N
341,Air North Charter - Canada,4N,ANT,Y
342,Air Nevada,,ANV,N
343,AOM French Airlines,IW,AOM,N
344,Aviacion Del Noroeste,,ANW,N
345,Air New Zealand,NZ,ANZ,Y
346,Avia Jaynar,,SAP,N
347,Aero Servicios Empresariales,,EMS,N
348,Alcon Servicios Aereos,,AOA,N
349,AVCOM,J6,AOC,N
350,Aero Vodochody,,AOD,N
351,Air One Executive,,AOE,N
352,Atair Pty Ltd.,,AOF,N
353,Aero VIP,2D,AOG,N
354,Aeromundo Ejecutivo,,MUN,N
355,Aerolinea Muri,,MUR,N
356,Astoria,,AOI,N
357,Aero Rent JSC,,NRO,N
358,Aeronord-Grup,,NRP,N
359,Aeroatlantico Colombia,,AOK,N
360,Angkor Airlines,,AOL,N
361,Aero Entreprise,,AON,N
362,As,,AOO,N
363,Aeropiloto,,AOP,N
364,Aeroenlaces Nacionales,,VIV,N
365,Aerovis Airlines,,VIZ,N
366,Avjet International (FZE),,VJE,N
367,Aerovista Gulf Express,,VGF,N
368,Air Vegas,6V,VGA,N
369,Almaver,,VER,N
370,Afro International Ent. Limited,,AOR,N
371,Alitalia Express,XM,SMX,Y
372,Asia Overnight Express,OE,AOT,N
373,Air Tractor,,AOU,N
374,Aero Vision,,AOV,N
375,Aerotaxi Del Valle,,AOX,N
376,Air Park Aviation Ltd.,,APA,N
377,Airpac Airlines,,APC,N
378,Aeroservicios Monterrey,,SVM,N
379,Amapola Flyg AB,,APF,N
380,Air People International,,APG,N
381,Alpha Aviation,,APH,N
382,ASA Pesada,,API,N
383,Air Print,,APJ,N
384,Atlantic Airlines,,BJK,N
385,Aerotransporte Petrolero,,PET,N
386,Aero Flight,GV,ARF,Y
387,ACM Aviation,,BJT,N
388,Aircompany Barcol,,BKL,N
389,All Charter Limited,,BLA,N
390,Appalachian Flying Service,,APL,N
391,Airpac,,APM,N
392,Aeropro,,APO,N
393,Aerolineas Pacifico Atlantico,,APP,N
394,Aspen Aviation,,APQ,N
395,Aeropuma,,APU,N
396,Air Plan International,,APV,N
397,Arrow Air,JW,APW,Y
398,Apex Air Cargo,,APX,N
399,APA Internacional,,APY,N
400,Aeroatlas,,AQA,N
401,Aquila Air Ltd.,,AQL,N
